----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Fri Jun 14 11:39:57 2024
----------------------------------------------------------------------
{'name': 'code', 'username': 'arjun', 'pid': 15149, 'vms': 1162144.3671875} 
{'name': 'kworker/0:0-events_freezable', 'username': 'root', 'pid': 15200, 'vms': 0.0} 
{'name': 'code', 'username': 'arjun', 'pid': 15242, 'vms': 1149756.6171875} 
{'name': 'code', 'username': 'arjun', 'pid': 15254, 'vms': 1149755.18359375} 
{'name': 'code', 'username': 'arjun', 'pid': 15255, 'vms': 1149771.7421875} 
{'name': 'vlc', 'username': 'arjun', 'pid': 15350, 'vms': 2610.98828125} 
{'name': 'kworker/7:1-events', 'username': 'root', 'pid': 15506, 'vms': 0.0} 
{'name': 'kworker/3:0-i915-unordered', 'username': 'root', 'pid': 15546, 'vms': 0.0} 
{'name': 'kworker/5:2-mm_percpu_wq', 'username': 'root', 'pid': 15556, 'vms': 0.0} 
{'name': 'gjs', 'username': 'arjun', 'pid': 15574, 'vms': 3058.7109375} 
{'name': 'kworker/u24:2-ext4-rsv-conversion', 'username': 'root', 'pid': 16232, 'vms': 0.0} 
{'name': 'kworker/8:0-mm_percpu_wq', 'username': 'root', 'pid': 16584, 'vms': 0.0} 
{'name': 'kworker/11:1-events', 'username': 'root', 'pid': 16861, 'vms': 0.0} 
{'name': 'kworker/3:2-events', 'username': 'root', 'pid': 16913, 'vms': 0.0} 
{'name': 'kworker/u24:1-events_power_efficient', 'username': 'root', 'pid': 17000, 'vms': 0.0} 
{'name': 'kworker/1:2', 'username': 'root', 'pid': 17040, 'vms': 0.0} 
{'name': 'kworker/u25:2-i915_flip', 'username': 'root', 'pid': 17054, 'vms': 0.0} 
{'name': 'kworker/0:1', 'username': 'root', 'pid': 17075, 'vms': 0.0} 
